submission_year,main_categories,count,total,proportion
2012,quant-ph,15,496,0.03024193548387097
2012,stat,15,496,0.03024193548387097
2013,astro-ph,62,530,0.1169811320754717
2013,cond-mat,68,530,0.12830188679245283
2013,cs,75,530,0.14150943396226415
2013,gr-qc,14,530,0.026415094339622643
2013,hep-ex,8,530,0.01509433962264151
2013,hep-lat,3,530,0.005660377358490566
2013,hep-ph,21,530,0.03962264150943396
2013,hep-th,21,530,0.03962264150943396
2013,math,125,530,0.2358490566037736
2013,math-ph,12,530,0.022641509433962263
2013,nlin,5,530,0.009433962264150943
2013,nucl-ex,3,530,0.005660377358490566
2013,nucl-th,8,530,0.01509433962264151
2013,physics,59,530,0.11132075471698114
2013,q-bio,12,530,0.022641509433962263
2013,q-fin,3,530,0.005660377358490566
2013,quant-ph,21,530,0.03962264150943396
2013,stat,10,530,0.018867924528301886
2014,astro-ph,73,531,0.1374764595103578
2014,cond-mat,70,531,0.1318267419962335
2014,cs,65,531,0.1224105461393597
2014,gr-qc,16,531,0.030131826741996232
2014,hep-ex,6,531,0.011299435028248588
2014,hep-lat,5,531,0.009416195856873822
2014,hep-ph,19,531,0.035781544256120526
2014,hep-th,21,531,0.03954802259887006
2014,math,124,531,0.2335216572504708
2014,math-ph,11,531,0.02071563088512241
2014,nlin,3,531,0.005649717514124294
2014,nucl-ex,8,531,0.015065913370998116
2014,nucl-th,5,531,0.009416195856873822
2014,physics,49,531,0.09227871939736347
2014,q-bio,14,531,0.026365348399246705
2014,q-fin,6,531,0.011299435028248588
2014,quant-ph,18,531,0.03389830508474576
2014,stat,18,531,0.03389830508474576
2015,astro-ph,66,606,0.10891089108910891
2015,cond-mat,67,606,0.11056105610561057
2015,cs,80,606,0.132013201320132
2015,eess,1,606,0.0016501650165016502
2015,gr-qc,15,606,0.024752475247524754
2015,hep-ex,9,606,0.01485148514851485
2015,hep-lat,6,606,0.009900990099009901
2015,hep-ph,24,606,0.039603960396039604
2015,hep-th,16,606,0.026402640264026403
2015,math,162,606,0.26732673267326734
2015,math-ph,16,606,0.026402640264026403
2015,nlin,9,606,0.01485148514851485
2015,nucl-ex,6,606,0.009900990099009901
2015,nucl-th,10,606,0.0165016501650165
2015,physics,59,606,0.09735973597359736
2015,q-bio,6,606,0.009900990099009901
2015,q-fin,3,606,0.0049504950495049506
2015,quant-ph,27,606,0.04455445544554455
2015,stat,24,606,0.039603960396039604
2016,astro-ph,86,689,0.12481857764876633
2016,cond-mat,67,689,0.09724238026124818
2016,cs,122,689,0.17706821480406387
2016,gr-qc,24,689,0.03483309143686502
2016,hep-ex,7,689,0.010159651669085631
2016,hep-lat,7,689,0.010159651669085631
2016,hep-ph,25,689,0.036284470246734396
2016,hep-th,23,689,0.033381712626995644
2016,math,184,689,0.26705370101596515
2016,math-ph,14,689,0.020319303338171262
2016,nlin,11,689,0.015965166908563134
2016,nucl-ex,3,689,0.0043541364296081275
2016,nucl-th,10,689,0.01451378809869376
